timestamps,data,event,trial
0.08259199932217598,1.0,right_lick_time,0
4.521919999271631,,goCue_start_time,0
4.750303999520838,1.0,right_lick_time,0
4.940447999164462,1.0,right_lick_time,0
5.1140799997374415,1.0,right_lick_time,0
8.626783999614418,1.0,right_lick_time,1
11.20182399917394,,goCue_start_time,1
11.45798399951309,1.0,right_lick_time,1
11.572767999954522,1.0,right_lick_time,1
11.684320000000298,1.0,right_lick_time,1
20.90393599960953,1.0,right_lick_time,2
27.716063999570906,1.0,right_lick_time,2
36.00300799962133,1.0,right_lick_time,2
45.36774399969727,,goCue_start_time,2
45.69513599947095,1.0,left_lick_time,2
45.70399999991059,1.0,left_reward_delivery_time,2
45.88985599949956,1.0,left_lick_time,2
46.02694399934262,1.0,left_lick_time,2
46.178944000042975,1.0,left_lick_time,2
46.32828799914569,1.0,left_lick_time,2
46.69129600003362,1.0,left_lick_time,2
46.84127999935299,1.0,left_lick_time,2
47.02332799974829,1.0,left_lick_time,2
47.41404799930751,1.0,left_lick_time,2
47.58044799976051,1.0,left_lick_time,2
50.71900799963623,1.0,left_lick_time,3
53.2186559997499,,goCue_start_time,3
53.37635200005025,1.0,left_lick_time,3
53.5717119993642,1.0,left_lick_time,3
59.785919999703765,,goCue_start_time,4
59.95164799969643,1.0,left_lick_time,4
60.07215999998152,1.0,left_lick_time,4
60.26611199975014,1.0,left_lick_time,4
66.2848319998011,,goCue_start_time,5
66.6220799991861,1.0,left_lick_time,5
66.74847999960184,1.0,left_lick_time,5
73.08473599981517,,goCue_start_time,6
73.27417599968612,1.0,left_lick_time,6
77.82534400001168,1.0,right_lick_time,7
77.98742399923503,1.0,right_lick_time,7
83.20694399997592,,goCue_start_time,7
83.38614399917424,1.0,left_lick_time,7
91.6528639998287,,goCue_start_time,8
91.84463999979198,1.0,left_lick_time,8
92.007359999232,1.0,right_lick_time,8
92.22271999996156,1.0,right_lick_time,8
92.4228799995035,1.0,right_lick_time,8
94.36057600006461,1.0,right_lick_time,9
94.56863999925554,1.0,right_lick_time,9
101.51759999990463,1.0,left_lick_time,9
111.00195199996233,,goCue_start_time,9
111.36108799930662,1.0,left_lick_time,9
111.58915199991316,1.0,right_lick_time,9
111.74057599995285,1.0,right_lick_time,9
112.09916799981147,1.0,right_lick_time,9
112.3887679995969,1.0,right_lick_time,9
112.61001599952579,1.0,right_lick_time,9
119.10185599979013,,goCue_start_time,10
119.2855039993301,1.0,left_lick_time,10
119.47823999915272,1.0,left_lick_time,10
129.01872000005096,,goCue_start_time,11
129.39692799933255,1.0,left_lick_time,11
129.61443199962378,1.0,right_lick_time,11
129.83535999991,1.0,right_lick_time,11
135.8526079999283,,goCue_start_time,12
136.04195199999958,1.0,left_lick_time,12
136.3047359995544,1.0,right_lick_time,12
136.45993599947542,1.0,right_lick_time,12
142.71990399993956,,goCue_start_time,13
142.93171199969947,1.0,left_lick_time,13
143.11270399950445,1.0,right_lick_time,13
143.39935999922454,1.0,right_lick_time,13
146.3835199996829,1.0,right_lick_time,14
146.59615999925882,1.0,right_lick_time,14
155.57075199950486,,goCue_start_time,14
155.74620799999684,1.0,left_lick_time,14
156.1171519998461,1.0,left_lick_time,14
165.58460799977183,,goCue_start_time,15
165.74908799957484,1.0,left_lick_time,15
166.001215999946,1.0,right_lick_time,15
173.3698559999466,,goCue_start_time,16
173.67203199956566,1.0,right_lick_time,16
173.67900799959898,1.0,right_reward_delivery_time,16
173.8118719998747,1.0,right_lick_time,16
173.99798399955034,1.0,right_lick_time,16
174.12387199979275,1.0,right_lick_time,16
174.29299199953675,1.0,right_lick_time,16
174.45711999945343,1.0,right_lick_time,16
174.61795199941844,1.0,right_lick_time,16
174.7990399999544,1.0,right_lick_time,16
174.94905599951744,1.0,right_lick_time,16
175.11145599931479,1.0,right_lick_time,16
175.27097599953413,1.0,right_lick_time,16
176.16147199925035,1.0,right_lick_time,17
176.3137599993497,1.0,right_lick_time,17
176.49647999927402,1.0,right_lick_time,17
176.6808960000053,1.0,right_lick_time,17
176.87215999979526,1.0,right_lick_time,17
177.01855999976397,1.0,right_lick_time,17
177.24214399978518,1.0,right_lick_time,17
185.05167999956757,,goCue_start_time,17
185.34313599951565,1.0,left_lick_time,17
185.34502399992198,1.0,left_reward_delivery_time,17
185.54300799965858,1.0,left_lick_time,17
185.68252799939364,1.0,left_lick_time,17
185.8098239991814,1.0,left_lick_time,17
185.97503999993205,1.0,left_lick_time,17
186.60444799996912,1.0,left_lick_time,17
186.74556799978018,1.0,left_lick_time,17
186.87324799969792,1.0,left_lick_time,17
186.8946879999712,1.0,left_lick_time,17
187.0578239997849,1.0,left_lick_time,17
187.18291199952364,1.0,left_lick_time,17
187.2056639995426,1.0,left_lick_time,17
187.39897600002587,1.0,left_lick_time,18
187.53305599931628,1.0,left_lick_time,18
187.5546879991889,1.0,left_lick_time,18
187.72652799915522,1.0,left_lick_time,18
191.21977599989623,1.0,left_lick_time,18
191.27743999939412,1.0,left_lick_time,18
195.3858880000189,,goCue_start_time,18
195.53708799928427,1.0,left_lick_time,18
195.7126399995759,1.0,left_lick_time,18
201.36227199994028,1.0,right_lick_time,19
201.5688319997862,1.0,right_lick_time,19
202.00095999985933,1.0,left_lick_time,19
204.0187519993633,,goCue_start_time,19
204.171167999506,1.0,left_lick_time,19
204.177023999393,1.0,left_reward_delivery_time,19
204.33631999976933,1.0,left_lick_time,19
204.4810559991747,1.0,left_lick_time,19
204.6320319995284,1.0,left_lick_time,19
204.7992639997974,1.0,left_lick_time,19
204.93983999919146,1.0,left_lick_time,19
205.0829439992085,1.0,left_lick_time,19
205.25571199972183,1.0,left_lick_time,19
205.4359359992668,1.0,left_lick_time,19
205.62783999927342,1.0,left_lick_time,19
205.9466559998691,1.0,left_lick_time,19
206.10143999941647,1.0,left_lick_time,19
206.28214399982244,1.0,left_lick_time,20
211.56492799986154,1.0,right_lick_time,20
211.73235199972987,1.0,right_lick_time,20
214.81747199967504,1.0,right_lick_time,20
220.40387200005352,,goCue_start_time,20
220.60444799996912,1.0,left_lick_time,20
220.84428799990565,1.0,right_lick_time,20
220.9930879995227,1.0,right_lick_time,20
228.22796799987555,1.0,left_lick_time,21
228.60009599942714,1.0,right_lick_time,21
228.78175999969244,1.0,right_lick_time,21
230.59724799916148,1.0,left_lick_time,21
238.46966399997473,,goCue_start_time,21
238.61766400001943,1.0,left_lick_time,21
238.61999999918044,1.0,left_reward_delivery_time,21
238.9407359994948,1.0,left_lick_time,21
239.10915199946612,1.0,left_lick_time,21
239.2548159994185,1.0,left_lick_time,21
239.3936319993809,1.0,left_lick_time,21
239.59900799952447,1.0,left_lick_time,21
239.72297600004822,1.0,left_lick_time,21
239.74473599996418,1.0,left_lick_time,21
239.8851839993149,1.0,left_lick_time,21
240.04198399931192,1.0,left_lick_time,21
240.20006399974227,1.0,left_lick_time,21
247.10185599979013,,goCue_start_time,22
247.28556799981743,1.0,left_lick_time,22
247.4651839993894,1.0,left_lick_time,22
247.70076799951494,1.0,right_lick_time,22
247.84467200003564,1.0,right_lick_time,22
248.03491199947894,1.0,right_lick_time,22
259.2088639996946,1.0,left_lick_time,23
259.6075839996338,1.0,left_lick_time,23
259.7559679998085,1.0,left_lick_time,23
261.5128959994763,1.0,right_lick_time,23
261.6428159996867,1.0,right_lick_time,23
273.63580799940974,,goCue_start_time,23
273.80140799935907,1.0,left_lick_time,23
274.00070399977267,1.0,right_lick_time,23
274.1978239994496,1.0,right_lick_time,23
274.40572799928486,1.0,right_lick_time,23
277.7280639996752,1.0,right_lick_time,24
280.95171199925244,,goCue_start_time,24
281.09628799930215,1.0,left_lick_time,24
281.0980159994215,1.0,left_reward_delivery_time,24
281.2902079997584,1.0,left_lick_time,24
281.42124799918383,1.0,left_lick_time,24
281.56659199949354,1.0,left_lick_time,24
281.7405119994655,1.0,left_lick_time,24
281.87183999922127,1.0,left_lick_time,24
282.03795199934393,1.0,left_lick_time,24
282.1814079992473,1.0,left_lick_time,24
282.34451199974865,1.0,left_lick_time,24
282.6815039999783,1.0,left_lick_time,24
282.8255679998547,1.0,left_lick_time,24
283.0144319999963,1.0,left_lick_time,24
294.78486400004476,,goCue_start_time,25
294.9059199998155,1.0,left_lick_time,25
295.1301440000534,1.0,left_lick_time,25
295.28595199994743,1.0,left_lick_time,25
295.4927039993927,1.0,left_lick_time,25
298.9569919994101,1.0,left_lick_time,26
299.32291199918836,1.0,right_lick_time,26
299.4993279995397,1.0,right_lick_time,26
299.7434879997745,1.0,right_lick_time,26
304.13574399985373,,goCue_start_time,26
304.30719999969006,1.0,left_lick_time,26
311.81865599937737,,goCue_start_time,27
311.9492480000481,1.0,left_lick_time,27
311.95100799947977,1.0,left_reward_delivery_time,27
312.26480000000447,1.0,left_lick_time,27
312.3977279998362,1.0,left_lick_time,27
312.5894079999998,1.0,left_lick_time,27
312.71923199947923,1.0,left_lick_time,27
312.86895999964327,1.0,left_lick_time,27
313.01804799959064,1.0,left_lick_time,27
313.18281599972397,1.0,left_lick_time,27
